"","location","time","text","likes","retweet","comment","tool"
"33","无","2019-04-24 10:40","【中国航天日，听小姐姐讲述航天那些事儿】从东方红升空到嫦娥伴月、从神舟起航到天舟穿梭、从陆地到太空、从无人到载人，是创新、是科技、是复兴梦。今天，中国航天日，向引领中国航天伟大腾飞的航天人致敬~@江苏共青团 @南京师范大学团委 共青团中央的微博视频  ",649,199,118,"vivo X27 4800万三摄"
"34","无","2019-04-24 09:50","【梦在前，无所惧！五四精神，等你传递  】青春最富有朝气、最富有梦想，把青春奋斗融入时代主题，五四百年，青春之光定能在历史发展的过程中精彩绽放。无论你是个人还是团体，欢迎将你设计的#五四精神传承有我#主题海报发送到→xmtgzc@163.com，我们会一直在这里等着你哦@亳州一中 @杭州共青团 @青春奈曼 @青年湖南 @青春临沭 @青春蓉江新区 @共青团赣州市委 @青春临沂             [组图共9张]      原图                             ",729,248,125,"微博 weibo.com"
"35","无","2019-04-24 09:00","【航班延误，一群中学生的机场快闪安抚焦急等待的人们】19日晚，由于受雷雨天气影响，一趟无锡飞往广州航班将延误三个小时。一群少年即兴快闪，在机场演唱了一曲《传奇》。他们是代表广东在苏州刚刚参加完第六届全国艺术展演的华南师大附中纯男声合唱团代表。 @广州日报 广州日报的秒拍视频  ",2878,438,325,"vivo X27 4800万三摄"
"36","无","2019-04-24 08:00","【青运史上的今天，“中国青年五四奖章”首次颁发】1997年4月24日，共青团中央、全国青联决定授予秦文贵、李斌、刘笑、公举东、宋芳蓉五人“中国青年五四奖章”。“中国青年五四奖章”是共青团中央、全国青联授予中国优秀青年的最高荣誉，旨在树立政治进步、品德高尚、贡献突出的优秀青年典型，集中反映当代青年的精神品格和价值追求。#百年五四##中国青年五四奖章#                  原图                             ",1092,413,150,"无"
"37","无","2019-04-24 06:38","#早安# 别等了，人生就像电影，不会总有彩蛋。以积极的态度面对各种挑战，惊喜会在不经意间到来，加油～  原图 ",2500,407,553,"vivo X27 4800万三摄"
"38","无","2019-04-23 21:08","【世界读书日，让阅读成为习惯】最是书香能致远，唯有读书方宁静。读书就像与智者对话，可以从中获得知识，汲取经验，并不断丰富和完善自己。今天是“世界读书日”，这一天，忙碌、疲惫的你是否愿意拾起一本书，为自己打开一个世界？放下手机，翻几页书，晚安@成都共青团  [组图共9张] 原图 ",1022,539,205,"iPhone客户端"
"39","无","2019-04-23 20:12","【不一样的青春宣言，致自己】青春，浓缩了酸甜和苦辣，记录了我们的成长。这，是我们的青春。新时代，新征程，唯有不忘初心，方能再创荣光！参与#青春随手拍#秀出你不一样的精彩青春！  [组图共9张] 原图 ",904,206,185,"无"
"40","无","2019-04-23 19:36","【铭记历史，开创未来！90秒穿越中国海军七十年】70年，他们劈波斩浪，纵横海疆；70年，他们逐梦深蓝，向海图强；他们，就是中国海军。@中国日报 共青团中央的微博视频  ",1638,680,235,"iPhone客户端"
"41","无","2019-04-23 18:51","【青课 | 曹卫东：航母还会带来新惊喜】我们现在的航空母舰还是滑跃起飞，未来可能还会发展更大的航空母舰，采用弹射或电磁弹射这样的先进技术，远海作战能力就会进一步加强。听著名军事评论家曹卫东讲述航母那些事儿↓↓ 共青团中央的秒拍视频  ",811,143,116,"微博 weibo.com"
"42","无","2019-04-23 17:47","【成功靠天赋还是靠勤奋？他用行动证明一切】他出身贫寒，学历不高，凭着踏实好学，走进全国顶尖的科研院所中航工业导弹院，成为院内数一数二的技术能手，后投身世界技能大赛，带领队伍在国际赛场折冠而回。邵志永，第二十届#中国青年五四奖章#获得者，他用青春诠释“最美青工”。致敬！#百年五四#  [组图共9张] 原图 ",992,173,126,"无"
"43","无","2019-04-23 17:02","【现场视频 | 中方舰艇、战机接受检阅】海上阅兵活动现场视频 大国海军，向海图强！转发收藏↓↓#人民海军成立70年# @人民日报 人民日报的微博视频  ",1051,307,193,"vivo X27 4800万三摄"
"44","无","2019-04-23 16:32","【腹有诗书气自华，这个四月我们一起读书】今天，是第24个世界读书日，你有多久没有好好读过一本书了？在阅读上花的每一秒，都会成就将来更好的你，八句有关读书的名言送给你，这个四月，我们一起静下心来，静静品尝字里行间的意味……@津彩青春  [组图共9张] 原图 ",923,396,106,"微博 weibo.com"
"45","无","2019-04-23 16:02","【催泪！荔城青年用青春“快闪”告白祖国】袅袅炊烟，小小村落，路上一道辙，我最亲爱的祖国，我永远紧依着你的心窝……熟悉的音符在古谯楼前回响 ，每一句歌词都直击心底。群众们的情绪也被点燃，跟着乐声动情歌唱。转发，祝福祖国！#五四精神传承有我# @荔城团区委 荔城团区委的微博视频  ",1370,418,208,"vivo X27 4800万三摄"
"46","无","2019-04-23 15:25","是时候秀出你的身份了， 转发获取共产主义接班人专属图标#青春随手拍#  原图 ",21608,209035,24941,"无"
"47","无","2019-04-23 15:17","【习近平检阅中国人民解放军海军仪仗队】23日下午，中共中央总书记、国家主席、中央军委主席习近平出席庆祝人民海军成立70周年海上阅兵活动。12时40分许，习近平来到青岛奥帆中心码头，检阅了中国人民解放军海军仪仗队，随后登上“西宁”号检阅舰。共青团中央的秒拍视频  ",1274,282,149,"微博 weibo.com"
"48","无","2019-04-23 15:06","转发理由:新中国遭受到核威胁、核讹诈后，毛主席曾豪迈地讲，中国人自己搞核潜艇一万年也要搞出来！  
原始用户: 国资小新
转发内容: #人民海军成立70周年#【“核潜艇，一万年也要搞出来！”向为海军铸剑的他们致敬】作为最先进的海军装备之一，世界第一艘核潜艇诞生于1954年。曾经，我们被人质疑“中国要研制核潜艇简直是异想天开”。但中国的核工业人克服当时一穷二白的困难，甚至总设计师亲自下水做深潜试验第一人。最终，1974年8月1日，我国第一艘核潜艇加入海军战斗序列！ 向所有隐姓埋名的他们致敬！未来，期待#人造太阳#等尖端技术率先在中国实现！#科幻作家走进新国企# @人民海军  @环球网 @果壳 @未来事务管理局 @科普中国 @四川发布 @中国地震台网速报 @头条新闻 @新京报 @科学松鼠会  @中国核工业集团有限公司 国资小新的微博视频                     ",1299,259,137,"微博 weibo.com"
"49","无","2019-04-23 14:08","燃！一镜到底纵览海军70年装备库 #人民海军成立70年# 人民日报的秒拍视频  ",1425,469,282,"无"
"50","无","2019-04-23 14:07","【梦在前，无所惧！五四精神，等你传递】五四百年，一代又一代的有志青年为了民族振兴、国家富强、人民幸福矢志奋斗。激扬青春梦，@南京师范大学团委 的小伙伴们说#五四精神传承有我# 共青团中央的微博视频  ",599,168,73,"iPhone客户端"
"51","无","2019-04-23 13:03","参与话题#青春随手拍#，获得共产主义接班人专属buff，你值得拥有ps：团宝在微博故事等你来合拍哟  [组图共3张] 原图 ",726,143,147,"无"
"52","无","2019-04-23 12:00","【读书，为了遇见更好的自己】腹有诗书气自华。书籍，是文化的重要载体；读书，是承继文化的重要方式。今天是世界读书日（4月23日），给你推荐一份书单。转发随机抽40本，趁着春光大好，小伙伴们读起来↓↓ #青年悦读# @微博抽奖平台  [组图共9张] 原图 ",1150,2449,800,"vivo X27 4800万三摄"
"53","无","2019-04-23 11:18","【青春之花，火红绽放】入团誓言、好青年寄语、通信机动演练……在军旗升起的地方，火箭军“砺剑青春”主题团日活动精彩纷呈。戳[下]欢迎参与#青春随手拍#vlog活动，记录你的青春足迹！@中国火箭军 中国火箭军的微博视频  ",771,149,73,"无"
"54","无","2019-04-23 10:54","【密码一定要改！女子医保卡丢失被盗刷5000多元】近日，江苏淮安穆女士将医保卡丢失，补办时才发现，卡被盗刷5000多元。嫌疑人交代，自己捡到卡后，抱着试刷的心态去买药，发现初始密码没改，就买了大量药品及营养品。周某已被刑拘。民警提醒：医保卡初始密码一定要改。荔直播的秒拍视频  ",409,106,156,"vivo X27 4800万三摄"
"55","无","2019-04-23 09:45","一图尽览中国海军“兵器谱” #人民海军成立70年# @人民日报  原图 ",2160,676,300,"vivo X27 4800万三摄"
"56","无","2019-04-23 09:00","【青运史上的今天，“祁建华速成识字法”发明人祁建华获奖】在扫盲工作中，解放军西南军区某部青年文化教员祁建华经过反复实验，发明了“祁建华速成识字法”。1952年4月23日，中央人民政府政务院文化教育委员会为祁建华颁发了奖状。到1952年底，全国利用“祁建华速成识字法”进行学习的达五六千万人。祁建华被解放军西南军区记特等功一次。#百年五四#                  原图                             ",845,213,119,"无"
"57","无","2019-04-23 08:00","【今天，人民海军70周岁】1949年4月23日，解放军的第一支海军——东海舰队的前身“华东军区海军”在江苏省泰州白马庙成立，张爱萍将军任首任司令员兼政治委员。70年来，中国海军突破重重险阻，血火涅槃，剑指七海。为祖国守卫着那浩瀚的海洋，日夜保卫着国家领土的完整。人民海军，生日快乐！@荟萃石工  [组图共9张] 原图 ",3236,3748,691,"无"
"58","无","2019-04-23 00:00","@人民海军，生日快乐！  原图 ",12688,4197,2443,"vivo X27 4800万三摄"
"59","无","2019-04-22 22:23","转发理由:睡前重温，那些精彩的瞬间 #国风新时代#  
原始用户: 古风音乐会
转发内容: #国风新时代# #少年中国国风音乐节# 十年前的我们，不会想象到国风音乐会拥有这么多的回忆，也不会想象到能与这么多人并肩前行。如果说有什么成就，那就是与你们相遇。如果说有什么骄傲的，那就是听到你们呼唤我们的姓名。水阔山长，踏歌以航。矢志不忘，成梦留光。@共青团中央 古风音乐会的微博视频  ",864,217,132,"无"
"60","无","2019-04-22 21:06","大学校园，什么品质吸引另一半？戳[下]懂我意思吧 共青团中央的微博视频  ",821,281,250,"无"
"61","无","2019-04-22 19:51","转发理由:腹有诗书气自华，愿你多读书，读好书 //@浙江团省委:#423共青团送书# 快来查收三位无限阅读者的独家私藏书单，体验不一样的阅读方式，和三位无限阅读者一起开启新时代，新悦读！  
原始用户: 腾讯微信读书
转发内容: #423共青团送书# 由共青团中央社会联络部 @共青团中央 主办的“新时代·新悦读”2019世界读书日系列活动的启动仪式将联合共青团浙江省委@浙江团省委 在杭州共同主办。主办方携手微信读书App邀请张艺兴 @努力努力再努力x 、佟丽娅 @佟丽娅  、唐家三少 @唐家三少   作为本次活动的特别领读人—无限阅读者，鼓励全民阅读。快来查收三位无限阅读者的独家私藏书单，体验不一样的阅读方式，和三位无限阅读者一起开启新时代，新悦读！         [组图共3张]      原图                     ",1337,47047,305,"vivo X27 4800万三摄"
"62","无","2019-04-22 18:49","【不一样的职业，绽放相同的青春风采】选择不同的工作，对应着不同的人生。医生、教师、军人、工人……虽然职业不同，但我们都在岗位上努力奋斗，绽放着属于自己的光芒。欢迎参与#青春随手拍#活动，展现不一样的青春岁月！  图片来源：@青春湖北 @南昌铁路  [组图共9张] 原图 ",2363,335,333,"无"
"63","无","2019-04-22 18:08","【梦在前，无所惧！五四精神，等你传递】正是你们的守护，才有了我们的安宁和幸福#五四精神传承有我# @淮南公安在线 警民携手同行的秒拍视频  ",960,385,136,"360安全浏览器"
"64","无","2019-04-22 17:03","【拍电影吗，少年？】我和共和国共成长——2019年中国青少年微电影、短视频作品征集展示活动开始啦~大平台、多视角等待小伙伴们的创意脑洞与精彩瞬间，还有创作基金、专业培训、项目扶持等你来拿！戳↓↓了解  原图 ",563,208,71,"vivo X27 4800万三摄"
"65","无","2019-04-22 16:42","【梦在前，无所惧！五四精神，等你传递】中国青年，是中国精神和中国力量的缩影，五四精神的火种，会一直燃烧在一代又一代青年的心中。#五四精神传承有我# @浙江团省委 共青团中央的秒拍视频  ",621,162,98,"360安全浏览器"
"66","无","2019-04-22 16:04","【保护地球，我们至少可以做到这些】①低碳出行，多乘坐公共交通工具；②节约用水，争取一水多用；③节约用电，随手关灯；④节约资源，减少一次性用品的使用；⑤保护濒危动物，参与义务植树。今天是世界地球日（4月22日），一起守护#天天天蓝#，守护我们共同的家园， 转起！共青团中央的微博视频  ",698,387,148,"vivo X27 4800万三摄"
"67","无","2019-04-22 15:13","【你在读书上花的任何时间，都会在某个时刻给你回报】“读书可以让人保持思想活力，让人得到智慧启发，让人滋养浩然之气。”在这个春天，选择一本适合自己的书，不必追求速度，细细去品味。4月23日是世界读书日，给你推荐一份书单。转发随机抽40本，小伙伴们读起来↓↓ #青年悦读# @微博抽奖平台  [组图共9张] 原图 ",1148,2650,803,"微博 weibo.com"
"68","无","2019-04-22 14:37","【梦在前，无所惧！五四精神，等你传递  】青春既是血雨腥风里坚守的铁骨，也是攻坚克难时创新的先锋。不管时光如何变幻，不管岁月如何洗涤，五四精神都世代传承。无论你是个人还是团体，欢迎将你设计的#五四精神传承有我#主题海报发送到→xmtgzc@163.com@宝狮龙厨电@共青团赣州市委 @广西民族大学团委@青春临沂@山东共青团 @国网新疆电力@西南交通大学@沂水共青团@青春蓉江新区             [组图共9张]      原图                             ",522,214,97,"微博 weibo.com"
"69","无","2019-04-22 12:29","初入社会的小迷惘，不忘初心的坚持。这就是青春，是我们的模样，参与#青春随手拍#故事挑战，拍出你的青春范儿～ 微博视频 #青春随手拍#  ",3375,557,351,"微博视频"
"70","无","2019-04-22 11:20","【青春随手拍，展现不一样的青春风采】你认为青春应具备什么样的气质？你可以拍下“不一样的青春”对比照片，也可以参与故事挑战展现“青春的模样”，还可以通过“这就是青春”主题vlog记录自己的青春足迹。带话题#青春随手拍#即可参与活动，戳[下]快分享给小伙伴们吧！带话题转发，海量福利等你来拿～  原图 ",1442,1589,571,"无"
"71","无","2019-04-22 10:32","【画面引起极度舒适！武警国宾护卫队超燃表白】在#挑战不可能#，武警国宾护卫队驾驶70辆摩托车，行云流水、整齐划一，依次摆出“1949-2019”、“70”和“中国”的字样，用他们独特的方式预祝新中国70华诞。网友：看到最后热泪盈眶！央视新闻的秒拍视频  ",2243,651,306,"微博 weibo.com"
"72","无","2019-04-22 09:45","【一声“到”！一生到！】他们已经习惯答“到”。一声“到”干脆利落，气贯苍穹；一声“到”热血澎湃，情深意重。用生命扛起使命，用忠诚筑起长城，中国人民解放军，一群习惯答“到”的人，当祖国和人民召唤一声“到”！一生到！致敬#军改我见证# 央视网的秒拍视频  ",2340,850,303,"vivo X27 4800万三摄"
"73","无","2019-04-22 08:50","【#人民海军成立70年#海上阅兵，这些看点不容错过】4月23日，我国将在青岛及其附近海空域举行各国海军舰艇海上阅兵，中国将有多艘舰艇首次亮相！霸气的海上分列式、32艘受阅舰艇、39架受阅战机……还有俄罗斯、泰国等10余国近20艘舰艇参加检阅。精彩看点提前get，转发了解↓↓@人民日报  [组图共9张] 原图 ",2048,971,380,"vivo X27 4800万三摄"
"74","无","2019-04-22 08:00","【青运史上的今天，梁启超为争取中国权益做最后的努力】1919年4月，国内致信请梁启超担任国民外交协会驻巴黎的代表，主持巴黎和会请愿的各项事务。当时梁启超正在欧洲游历于是应允。巴黎和会决定将山东转让给日本，而中国首席代表陆徵祥竟考虑签字。梁启超致电回国，希望政府和国民向和谈代表施加压力，不要在和约上签字。#百年五四#                  原图                             ",1604,457,221,"无"
"75","无","2019-04-21 22:11","今晚来聊聊  有没有哪一刻，来自陌生人给你的帮助或惊喜，让你感到这个世界浓浓的爱意？  原图 ",1532,202,1015,"帅团的Android"
"76","无","2019-04-21 21:33","【海上阅兵倒计时！多国军舰陆续抵达青岛 一睹为快！】4月23日是#人民海军成立70周年#纪念日。今天，前来参加海上阅兵活动的11国16艘舰艇陆续抵达青岛港↓↓此次海上阅兵将于23日在青岛及其附近海空域举行，除中方参阅兵力外，俄罗斯、泰国、越南、印度等10多个国家近20艘舰艇将参加检阅活动。期待！央视新闻的秒拍视频                                 ",1495,356,244,"帅团的Android"
